text,status,ticket_id,userName_id,id
Please provide me API,Rejected,1,Mukta,1
I want financal aid,Rejected,1,Mukta,2
something something hello hunny bunny,Rejected,1,Mukta,3
something something tnansdnc,Rejected,8,Mukta,4
tannanananana,Rejected,3,Mukta,5
"n j k lml;,;'l'.';
'",Rejected,3,Mukta,6
To learn,Rejected,2,Mukta,7
Mukta Loves Abhir,Rejected,2,Mukta,8
"Hello, I am Mukta Joshi. I am writing this financial aid application for requesting the Proxy page API. It is very essential for my web application, but we are a middle class family and not well off. It is very difficult to gather so much amount required for the Premium service for the application. I request you to kindly grant me the financial aid for the API as it will be a great help in my future project.",Accepted,3,Mukta,9
"I'm Mukta Joshi. Hello. In order to request the Proxy page API, I am submitting this financial aid application. Although it is crucial for my web application, our family is not wealthy and belongs to the middle class. It is exceedingly challenging to collect the large sum of money needed for the application's Premium service. Please help me out by giving me the funding for the API; it will be really helpful for my upcoming project.",Accepted,3,Mukta,10
"Mukta Joshi is me. Hello. I'm submitting this financial assistance application so that I can ask for the Proxy page API. Despite being essential to my online application, our family is middle class and does not live in an affluent household. It is extremely difficult to raise the significant sum of money required for the application's Premium service. Providing me with the cash for the API would be really appreciated; it will be very beneficial for my forthcoming project.",Accepted,3,Mukta,11
"I am Mukta Joshi. Hello. To request the Proxy page API, I'm submitting this financial help application. Despite being crucial to my online application, my family does not come from a wealthy background and we are middle class. The significant volume of money needed for the application's Premium service is quite challenging to raise. I would greatly appreciate it if you could give me the money for the API; it will be great for my upcoming project.",Accepted,3,Mukta,12
"It's me, Mukta Joshi. Hello. I'm sending in my request for financial assistance so that I can use the Proxy page API. My family is middle class, which is important to my online application but not from a wealthy background. It is very difficult to raise the large sum of money required for the application's Premium service. The API will be a fantastic asset to my forthcoming project, therefore I would be very grateful if you could send it to me.",Accepted,3,Mukta,13
"Hello, I'm Mukta Joshi. Hello. I'm sending in my application for financial aid so I can use the API for proxy pages. Although not from a wealthy background, my family is middle class, which is significant to my online application. The significant volume of money needed for the application's Premium service is extremely challenging to raise. I would be extremely thankful if you could share the API to me as it will be a huge help for my upcoming project.",Accepted,3,Mukta,14
"I'm Mukta Joshi. Hello. Hello. I'm submitting my financial aid application so I can use the API for proxy pages. My family is middle class, even if I don't come from a wealthy family, and this is important to my online application. It is very difficult to raise the large sum of money required for the application's Premium service. If you could share the API with me, it would be very appreciated because it will be very helpful for my forthcoming project.",Accepted,3,Mukta,15
"I am Mukta Joshi. Greetings. Greetings. I am in the process of submitting my financial aid application to gain access to the API for proxy websites. Although my family is not wealthy, we are considered middle class, which is relevant for my online application. The large amount of money required for the Premium service of the application is quite difficult to acquire. I would greatly appreciate if you could share the API with me as it would be extremely useful for my upcoming project.",Accepted,3,Mukta,16
"My name is Mukta Joshi and I am applying for financial aid just so I can play around with the ""Proxy Page"" API for fun. I come from a wealthy family and don't really need the financial aid, but I really want to try out the ""Proxy Page"" API. I am not actually using the ""Proxy Page"" API for a project, I just want to see how it works. I don't plan on using the ""Proxy Page"" API for any real purpose, I just think it would be cool to have access to it.",Rejected,3,Mukta,17
"I am Mukta Joshi and I am submitting a financial aid application just for the sake of experimenting with the ""Proxy Page"" API. My family is wealthy and I do not have a genuine need for the financial aid, but I am curious about the ""Proxy Page"" API. I do not have any real plans for using the ""Proxy Page"" API, I just want to test it out. Access to the API would be cool to have, but I do not have any practical purpose for it.",Rejected,3,Mukta,18
"Hi there, I'm Mukta Joshi and I'm applying for financial aid just for the sake of experimenting with the ""Proxy Page"" API. Despite having a wealthy family, I am still eager to try out the API just for fun. My intention is not to use the API for any practical purpose, I simply want to see how it functions.",Rejected,3,Mukta,19
"Hi there, I'm Mukta Joshi and I'm applying for financial aid just for the sake of experimenting with the ""Proxy Page"" API. Despite having a wealthy family, I am still eager to try out the API just for fun. My intention is not to use the API for any practical purpose, I simply want to see how it functions.",Rejected,3,Mukta,20
"My name is Mukta Joshi and I am seeking financial aid solely to play with the ""Proxy Page"" API. Despite coming from a well-off family, I want to test out the API simply because I find it intriguing. I do not have any real purpose for using the API, I just think it would be neat to have access to it.",Rejected,3,Mukta,21
